name,total_houses,sales_ratio,lat,long
Avon,7389,0.660615385,41.76520746,-72.89325448
Avon,7389,0.785505952,41.81062119,-72.87216542
Avon,7389,0.8782,41.79571066,-72.90041361
Avon,7389,0.705936255,41.77021643,-72.8800862
Avon,7389,0.70944186,41.80874067,-72.84715514
Washington,2124,0,41.66127935,-73.36213233
Washington,2124,0.913364706,41.67305324,-73.34384957
Eastford,793,0.54102719,41.9259341,-72.1076687
Enfield,17558,0.62625641,41.9733084,-72.55758326
Enfield,17558,0.634186047,42.00337259,-72.57853175
Enfield,17558,0.763081967,42.00337259,-72.59636677
Enfield,17558,0.792330827,41.98203809,-72.56490486
Groton,17978,7.245,41.36988607,-72.08009612
Groton,17978,0.693,41.34166174,-72.04865161
Groton,17978,0.7035,41.35205797,-72.0568062
Groton,17978,0.693521851,41.35536271,-72.00303842
Groton,17978,0.7,41.36061262,-72.04421915
Roxbury,1167,0.736320755,41.56993724,-73.32064797
East Lyme,8458,0.364,41.42131234,-72.25619875
East Lyme,8458,0.735945946,41.370739,-72.22051722
East Lyme,8458,0.379518072,41.36840389,-72.22186574
East Lyme,8458,1.749125,41.3431128,-72.18898099
Winchester,5613,0.74908805,41.91189654,-73.08856402
Windham,9570,0.750280269,41.70855076,-72.21504339
Windham,9570,0,41.73050839,-72.18422926
Windham,9570,2.450172059,41.72415232,-72.20219822
Windham,9570,0.913043478,41.73565623,-72.18617319
Windham,9570,6.336,41.69805748,-72.18475385
Weston,3674,0.566501976,41.19802317,-73.37600328
Weston,3674,1.141492537,41.20734881,-73.38988624
Norwalk,35415,1.4539,41.07544695,-73.44279842
Norwalk,35415,0.919589041,41.06888471,-73.44343217
Norwalk,35415,0.868583333,41.09148557,-73.41072005
Norwalk,35415,0.86912,41.10051945,-73.41109799
Norwalk,35415,0.544696552,41.05874578,-73.44408552
Norwalk,35415,1.074818182,41.09898373,-73.41695301
Norwalk,35415,0.716348993,41.13932485,-73.41936907
Norwalk,35415,0.981809756,41.07626467,-73.44378424
Norwalk,35415,0.644388889,41.14113163,-73.42177389
Norwalk,35415,0.727626667,41.14622587,-73.42425475
Norwalk,35415,0.796292683,41.11096258,-73.40269556
Glastonbury,13656,0.876372315,41.71532449,-72.60158273
Glastonbury,13656,1.181879195,41.69962303,-72.46213631
Glastonbury,13656,0.777185185,41.67994321,-72.59061803
Glastonbury,13656,0.606422018,41.69474543,-72.52099601
Glastonbury,13656,0.717777778,41.7249114,-72.59396785
Killingly,7592,2.109333333,41.808554,-71.86597911
Killingly,7592,0.57,41.81645174,-71.88694603
Killingly,7592,1.12,41.80173364,-71.88290959
Killingly,7592,1.906153846,41.80403351,-71.88499834
Killingly,7592,2.488476206,41.87229707,-71.87437003
Killingly,7592,1.923444444,41.80385153,-71.87980649
Killingly,7592,0.961333333,41.87982378,-71.82005377
Killingly,7592,0,41.85679108,-71.89567063
Killingly,7592,1.361012658,41.84543393,-71.88593663
Brookfield,6562,0.83247619,41.50062281,-73.38897764
Brookfield,6562,0.249147122,41.49015049,-73.4135233
Brookfield,6562,0.598730512,41.46421186,-73.35601431
New Haven,54967,0.809375,41.31131496,-72.92100434
New Haven,54967,0.934266667,41.31115772,-72.94118825
New Haven,54967,1.243859649,41.28790007,-72.93280655
New Haven,54967,0.449555556,41.31282162,-72.89913457
New Haven,54967,0.5955,41.30961021,-72.89714574
New Haven,54967,1.041923077,41.30258705,-72.94315059
New Haven,54967,0.574633252,41.31849315,-72.96892252
New Haven,54967,1.03425,41.28435029,-72.89619436
New Haven,54967,0.53007091,41.25487349,-72.89781719
New Haven,54967,0.8075,41.33321649,-72.86264167
New Haven,54967,1.113639644,41.305023,-72.92540502
New Haven,54967,0.705090909,41.33372516,-72.9674476
Milford,23074,0.789411765,41.22758964,-73.00571488
Milford,23074,0.660594595,41.1885849,-73.08949153
Milford,23074,0.647509493,41.23176781,-73.01180469
Milford,23074,0.32352,41.24948639,-73.01508321
Milford,23074,0.721538462,41.24540661,-73.0349002
Milford,23074,0.61032,41.20724034,-73.0358459
Milford,23074,0.560789946,41.22551322,-73.05706998
