name,total_houses,occupied_houses,vacant_houses,total_pop_2015,total_male_2015,total_female_2015,sales_price,lat,long
Avon,7389,7009,380,18904,9143,9761,260000,41.76520746,-72.89325448
Avon,7389,7009,380,18904,9143,9761,672000,41.81062119,-72.87216542
Avon,7389,7009,380,18904,9143,9761,1000000,41.79571066,-72.90041361
Avon,7389,7009,380,18904,9143,9761,251000,41.77021643,-72.8800862
Avon,7389,7009,380,18904,9143,9761,215000,41.80874067,-72.84715514
Washington,2124,1512,612,3535,1748,1787,20000,41.66127935,-73.36213233
Washington,2124,1512,612,3535,1748,1787,425000,41.67305324,-73.34384957
Eastford,793,690,103,1822,941,881,413750,41.9259341,-72.1076687
Enfield,17558,16794,764,43570,22472,21098,195000,41.9733084,-72.55758326
Enfield,17558,16794,764,43570,22472,21098,215000,42.00337259,-72.57853175
Enfield,17558,16794,764,43570,22472,21098,152500,42.00337259,-72.59636677
Enfield,17558,16794,764,43570,22472,21098,133000,41.98203809,-72.56490486
Groton,17978,15809,2169,39179,20805,18374,4000,41.36988607,-72.08009612
Groton,17978,15809,2169,39179,20805,18374,30000,41.34166174,-72.04865161
Groton,17978,15809,2169,39179,20805,18374,100000,41.35205797,-72.0568062
Groton,17978,15809,2169,39179,20805,18374,389000,41.35536271,-72.00303842
Groton,17978,15809,2169,39179,20805,18374,76300,41.36061262,-72.04421915
Roxbury,1167,936,231,2297,1148,1149,530000,41.56993724,-73.32064797
East Lyme,8458,7192,1266,19162,8978,10184,10000,41.42131234,-72.25619875
East Lyme,8458,7192,1266,19162,8978,10184,148000,41.370739,-72.22051722
East Lyme,8458,7192,1266,19162,8978,10184,415000,41.36840389,-72.22186574
East Lyme,8458,7192,1266,19162,8978,10184,160000,41.3431128,-72.18898099
Winchester,5613,4815,798,11503,5678,5825,318000,41.91189654,-73.08856402
Windham,9570,8906,664,25610,12489,13121,178400,41.70855076,-72.21504339
Windham,9570,8906,664,25610,12489,13121,27500,41.73050839,-72.18422926
